x;y;vx;vy;vz;pitch;roll;yaw
2833.65;-1463.87;242.58;-367.09;0.0;64764.0;65377.0;54188.0
2884.89;-1576.31;135.76;-418.53;0.0;64764.0;65434.0;51724.0
2907.32;-1698.81;17.77;-439.64;0.0;64764.0;65316.0;47888.0
2934.15;-1806.57;8.54;-439.92;0.0;64764.0;65291.0;47888.0
2931.64;-1928.43;133.86;-419.15;0.0;64764.0;259.0;47370.0
2939.61;-2046.98;-142.04;-416.44;0.0;64764.0;65386.0;44712.0
2917.7;-2164.32;-205.09;-389.28;0.0;64764.0;65276.0;41024.0
2845.76;-2263.02;-158.74;-410.36;0.0;64764.0;148.0;38026.0
2766.53;-2333.03;-418.48;-135.93;0.0;65021.0;65364.0;35022.0
2643.45;-2355.3;-439.3;-24.69;0.0;65021.0;65377.0;32242.0
2529.55;-2391.78;-439.83;12.55;0.0;65535.0;65265.0;30206.0
2407.8;-2370.96;-439.56;-19.72;0.0;65278.0;247.0;29968.0
2288.39;-2395.3;-429.7;94.66;0.0;65278.0;65288.0;25046.0
2205.02;-2322.02;-263.13;352.65;0.0;65278.0;65432.0;22326.0
2118.46;-2235.07;-343.97;274.39;0.0;65278.0;65389.0;18736.0
2080.71;-2119.57;-59.74;435.93;0.0;65278.0;65478.0;17432.0
2068.14;-1998.26;-39.91;438.18;0.0;65278.0;0.0;17230.0
2060.71;-1877.02;-16.95;439.67;0.0;65278.0;0.0;16734.0
2056.63;-1754.64;-13.42;439.79;0.0;65278.0;0.0;16696.0
2053.28;-1643.37;-13.17;439.8;0.0;65278.0;0.0;16696.0
2049.55;-1518.56;-13.16;439.8;0.0;65278.0;0.0;16696.0
2042.82;-1396.3;-33.67;438.71;0.0;65021.0;0.0;17246.0
2032.58;-1274.28;-37.79;438.37;0.0;65021.0;0.0;17284.0
2022.18;-1153.73;-36.68;438.47;0.0;65021.0;0.0;17208.0
2012.34;-1030.12;-34.55;447.35;206.24;65021.0;65528.0;17056.0
2003.07;-906.09;-32.31;447.54;-57.1;65021.0;65528.0;17018.0
1995.12;-790.87;-27.9;447.84;-301.63;65021.0;65495.0;16220.0
1996.04;-670.0;21.14;439.49;0.0;65278.0;0.0;15866.0
2001.4;-546.21;16.56;439.69;0.0;65278.0;0.0;16030.0
1998.5;-421.93;-27.05;439.17;0.0;65535.0;0.0;17092.0
1990.84;-306.99;-30.2;438.96;0.0;65535.0;0.0;17294.0
1979.95;-182.11;-40.21;438.16;0.0;65535.0;0.0;17348.0
1969.31;-68.87;-42.64;437.93;0.0;65278.0;0.0;17424.0
1957.0;53.93;-48.67;437.3;0.0;65278.0;45.0;18014.0
1992.77;169.29;6.92;439.95;0.0;65278.0;259.0;20876.0
1945.73;281.01;-243.79;366.29;0.0;65278.0;171.0;23806.0
