x;y;vx;vy;pitch;roll;yaw;;;x;y;vx;vy;pitch;roll;yaw
1944,45;-695,02;0,84;-440;64250;0;49174;;;;;;;;;
1944,69;-819,89;0,85;-440;64250;0;49174;;;;;;;;;
1905,5;-934,02;-52,91;-436,81;64250;213;49174;;;;;;;;;
1902,42;-1056,39;-0,47;-440;64250;0;49174;;;;;;;;;
1902,77;-1177,39;2,34;-440;64250;0;49212;;;;;;;;;
1932,72;-1295,99;21,48;-439,47;64250;65455;49212;;;;;;;;;
1907,87;-1414,89;-102,34;-427,93;64250;259;49212;;;;;;;;;
1902,07;-1526,4;-1,04;-440;64250;0;49212;;;;;;;;;
1902,56;-1649,82;2,45;-439,99;64250;0;49288;;;;;;;;;
1903,46;-1773,72;2,34;-440;64250;0;49204;;;;;;;;;
1904,72;-1898,09;8,11;-439,92;64250;0;49370;;;;;;;;;
1907,21;-2021,01;9,08;-439,9;64250;0;49370;;;;;;;;;
1913,36;-2142,25;58,77;-436,06;63479;131;51500;;;;;;;;;
1935,3;-2249,9;-22,79;-439,4;63222;65303;55226;;;;;;;;;
1991,77;-2336,64;439,92;-8,26;62965;259;5734;;;;;;;;;
2081,99;-2263,05;132,53;419,57;62965;259;8934;;;;;;;;;
2110,37;-2142,32;89,52;430,79;63479;101;15006;;;;;;;;;
2113,91;-2020,56;-97,19;429,14;63736;135;18066;;;;;;;;;
2074,38;-1914,1;-82,73;432,15;63736;65470;17990;;;;;;;;;
2054,39;-1791,33;-67,75;434,75;63736;0;17990;;;;;;;;;
2035,53;-1669,85;-67,41;434,8;63736;0;17990;;;;;;;;;
2016,31;-1547,45;-68,96;434,56;64507;0;18028;;;;;;;;;
2014,09;-1437,98;175,45;403,51;64250;65288;16064;;;;;;;;;
2056,16;-1326,5;37,73;438,38;64250;91;16064;;;;;;;;;
2061,4;-1204,17;14,08;439,77;64250;0;16064;;;;;;;;;
2065,24;-1080,33;13,51;439,79;64250;0;16064;;;;;;;;;
2068,98;-958,42;13,49;439,79;64250;0;16064;;;;;;;;;
2072,7;-836,99;13,49;439,79;64250;0;16064;;;;;;;;;
2076,47;-714,11;13,49;439,79;64250;0;16064;;;;;;;;;
2080,24;-591,23;13,49;439,79;64250;0;16102;;;;;;;;;
2080,02;-468,32;-9,35;439,9;64250;0;16640;;;;;;;;;
2077,39;-356,54;-9,94;439,89;64250;0;16602;;;;;;;;;
2075,4;-232,17;-2,64;439,99;64250;0;16374;;;;;;;;;
2075,5;-110,2;1,74;440;64250;0;16336;;;;;;;;;
2080,72;14,51;32,12;438,83;64250;0;15568;;;;;;;;;
2089,97;136,62;30,33;438,95;63736;0;15826;;;;;;;;;
2094,3;258,49;7,44;439,94;63736;0;16258;;;;;;;;;
2094,54;379,94;-32,79;438,78;63736;235;19228;;;;;;;;;
2031,85;466,82;-400,58;182,04;63736;270;32390;;;;;;;;;
1925,83;424,78;-249,89;-362,15;63736;259;46528;;;;;;;;;
1939;308,74;267,78;-349,13;63222;259;49958;;;;;;;;;
1956,38;192,91;-76,5;-433,3;63993;65447;46806;;;;;;;;;
1933,65;71,61;-67,54;-434,78;64764;42;47850;;;;;;;;;
1919,06;-38,26;-54,84;-436,57;64507;0;47936;;;;;;;;;
1908,8;-161,21;-19,17;-439,58;64507;37;49004;;;;;;;;;
1908,35;-281,23;8,56;-439,92;64764;0;49464;;;;;;;;;
1911,8;-406,05;13,06;-439,81;64764;0;49464;;;;;;;;;
1916,15;-529,87;21,51;-439,47;64764;0;49728;;;;;;;;;
1921,98;-642,5;21;-439,5;64764;0;49576;;;;;;;;;
1925,92;-765,36;9,34;-439,9;64764;0;49348;;;;;;;;;
1928,28;-887,31;8,29;-439,92;64764;0;49348;;;;;;;;;
1930,58;-1009,74;8,26;-439,92;64764;0;49348;;;;;;;;;
1932,87;-1131,69;8,27;-439,92;64764;0;49348;;;;;;;;;
1935,17;-1254,12;8,26;-439,92;64764;0;49348;;;;;;;;;
1937,46;-1376,06;8,26;-439,92;64764;0;49348;;;;;;;;;
1939,58;-1488,81;8,26;-439,92;64764;0;49348;;;;;;;;;
1942,01;-1620,92;6,86;-439,95;64764;0;49224;;;;;;;;;
1927,02;-1733,69;-180,97;-401,06;64764;135;48098;;;;;;;;;
1909,54;-1854,38;-16,67;-439,68;64250;44;49070;;;;;;;;;
1910,37;-1975,34;19,15;-439,58;64250;0;49716;;;;;;;;;
1916,7;-2097,63;23,66;-439,36;64250;0;49716;;;;;;;;;
1923,93;-2218,41;37,52;-438,4;63736;70;50654;;;;;;;;;
