x;y;vx;vy;pitch;roll;yaw
2075.5;-110.2;1.74;440.0;64250.0;0.0;16336.0
2080.72;14.51;32.12;438.83;64250.0;0.0;15568.0
2089.97;136.62;30.33;438.95;63736.0;0.0;15826.0
2094.3;258.49;7.44;439.94;63736.0;0.0;16258.0
2094.54;379.94;-32.79;438.78;63736.0;235.0;19228.0
2031.85;466.82;-400.58;182.04;63736.0;270.0;32390.0
1925.83;424.78;-249.89;-362.15;63736.0;259.0;46528.0
1939.0;308.74;267.78;-349.13;63222.0;259.0;49958.0
1956.38;192.91;-76.5;-433.3;63993.0;65447.0;46806.0
1933.65;71.61;-67.54;-434.78;64764.0;42.0;47850.0
1919.06;-38.26;-54.84;-436.57;64507.0;0.0;47936.0
1908.8;-161.21;-19.17;-439.58;64507.0;37.0;49004.0
1908.35;-281.23;8.56;-439.92;64764.0;0.0;49464.0
1911.8;-406.05;13.06;-439.81;64764.0;0.0;49464.0
1916.15;-529.87;21.51;-439.47;64764.0;0.0;49728.0
1921.98;-642.5;21.0;-439.5;64764.0;0.0;49576.0
1925.92;-765.36;9.34;-439.9;64764.0;0.0;49348.0
1928.28;-887.31;8.29;-439.92;64764.0;0.0;49348.0
1930.58;-1009.74;8.26;-439.92;64764.0;0.0;49348.0
1932.87;-1131.69;8.27;-439.92;64764.0;0.0;49348.0
1935.17;-1254.12;8.26;-439.92;64764.0;0.0;49348.0
1937.46;-1376.06;8.26;-439.92;64764.0;0.0;49348.0
1939.58;-1488.81;8.26;-439.92;64764.0;0.0;49348.0
1942.01;-1620.92;6.86;-439.95;64764.0;0.0;49224.0
1927.02;-1733.69;-180.97;-401.06;64764.0;135.0;48098.0
1909.54;-1854.38;-16.67;-439.68;64250.0;44.0;49070.0
1910.37;-1975.34;19.15;-439.58;64250.0;0.0;49716.0
1916.7;-2097.63;23.66;-439.36;64250.0;0.0;49716.0
1923.93;-2218.41;37.52;-438.4;63736.0;70.0;50654.0
1962.82;-2333.5;249.72;-362.27;63736.0;247.0;58058.0
2062.57;-2358.46;392.94;197.97;63479.0;270.0;9174.0
2097.16;-2251.25;-122.46;422.61;63479.0;270.0;21274.0
2058.22;-2134.96;-78.66;432.91;64250.0;65375.0;17248.0
2050.02;-2012.41;-7.42;439.94;64507.0;0.0;16468.0
2048.99;-1890.45;2.22;440.0;64507.0;65495.0;16094.0
